MMSI,BaseDateTime,SOG,COG,LON,LAT
416004349,2025-08-02 03:57:20.262380+00:00,0.0,25.9,114.15191833333333,22.323473333333332
563014650,2025-08-02 03:59:20.418948+00:00,0.2,359.6,103.95835333333333,1.29945
477995040,2025-08-02 03:59:00.642315+00:00,0.0,236.4,114.157675,22.288103333333332
566982000,2025-08-02 03:57:20.571939+00:00,0.0,311.9,103.98873499999999,1.300885
567000734,2025-08-02 03:57:20.608376+00:00,0.0,360.0,100.57477666666666,13.571963333333334
477996519,2025-08-02 03:58:32.078127+00:00,0.3,360.0,114.14765333333334,22.326196666666664
477997184,2025-08-02 03:59:22.162676+00:00,0.0,328.8,114.15705333333334,22.308846666666668
477995535,2025-08-02 03:58:32.451570+00:00,0.0,360.0,114.14470333333334,22.327436666666664
538010433,2025-08-02 03:59:15.567895+00:00,15.1,331.0,114.11163499999999,22.26955333333333
525100935,2025-08-02 03:58:49.275264+00:00,0.0,170.7,106.91278333333334,-6.098541666666667
416005619,2025-08-02 03:59:22.734491+00:00,0.5,322.7,121.82535833333333,25.33756
564167000,2025-08-02 03:58:21.408409+00:00,0.0,216.0,103.79808833333333,1.2402583333333332
354587000,2025-08-02 03:58:32.818012+00:00,10.5,15.4,121.75767333333333,25.185273333333335
416005211,2025-08-02 03:59:22.873745+00:00,0.0,360.0,120.27430666666667,22.612696666666668
636093151,2025-08-02 03:58:51.127899+00:00,0.0,123.0,103.766615,1.2800183333333335
477997043,2025-08-02 03:58:50.347054+00:00,0.1,349.4,114.11345666666666,22.343788333333336
567006584,2025-08-02 03:58:49.704554+00:00,0.1,360.0,100.53526166666667,13.65053
416005691,2025-08-02 03:57:23.275160+00:00,0.0,360.0,120.29246666666667,22.586035
413864202,2025-08-02 03:57:23.591721+00:00,0.0,0.0,114.15986666666666,22.308255
636014459,2025-08-02 03:57:23.689988+00:00,0.0,341.7,103.71619333333334,1.3079183333333333
413166000,2025-08-02 03:58:30.908613+00:00,14.6,75.3,103.971865,1.2278083333333332
566392000,2025-08-02 03:58:53.760684+00:00,0.0,260.6,103.79940166666667,1.2055049999999998
563251200,2025-08-02 03:59:24.519041+00:00,9.0,263.9,104.09538333333333,1.2696816666666666
548608500,2025-08-02 03:58:23.158495+00:00,0.0,305.2,123.90817666666666,10.292135
416006663,2025-08-02 03:58:32.916442+00:00,1.6,253.9,121.934415,25.306404999999998
412478080,2025-08-02 03:57:24.250537+00:00,33.4,256.8,114.11615,22.292081666666665
370549000,2025-08-02 03:57:24.294415+00:00,0.1,9.5,103.81091333333333,1.21949
574013717,2025-08-02 03:58:48.649897+00:00,13.8,259.9,103.846635,1.2087150000000002
477830700,2025-08-02 03:57:24.391523+00:00,0.0,55.6,120.29312,22.59125166666667
477995406,2025-08-02 03:58:42.467894+00:00,13.8,75.6,114.13347,22.291528333333336
563000001,2025-08-02 03:57:24.470037+00:00,0.0,360.0,103.72760666666666,1.3071416666666666
416012541,2025-08-02 03:58:53.596517+00:00,8.7,146.5,120.28602,22.602371666666667
566666000,2025-08-02 03:58:53.235038+00:00,0.3,188.5,103.92381666666667,1.2891833333333333
533133151,2025-08-02 03:58:44.008916+00:00,0.0,81.4,103.74944833333333,1.237475
477231400,2025-08-02 03:58:26.084034+00:00,0.0,108.0,114.11291666666666,22.355283333333333
567002160,2025-08-02 03:58:24.742049+00:00,0.0,314.4,100.54243,13.624668333333334
477997053,2025-08-02 03:57:25.120186+00:00,29.0,261.5,114.10809333333333,22.29018166666667
477464900,2025-08-02 03:58:48.468854+00:00,10.9,234.0,103.746995,1.14094
566096000,2025-08-02 03:58:34.902968+00:00,5.8,21.2,103.77200833333333,1.26455
563014980,2025-08-02 03:58:45.751559+00:00,0.0,360.0,103.75309333333333,1.2974999999999999
563057800,2025-08-02 03:59:17.553480+00:00,0.0,123.5,103.94588,1.2964216666666668
525701066,2025-08-02 03:58:25.870764+00:00,10.0,252.0,103.98555,1.2521099999999998
419000709,2025-08-02 03:57:25.944535+00:00,5.3,137.9,76.28904000000001,9.942555
566192000,2025-08-02 03:58:56.528426+00:00,4.6,243.9,103.92389333333334,1.2706033333333333
416002212,2025-08-02 03:58:33.650411+00:00,10.1,325.8,121.98178666666666,24.812081666666664
416003339,2025-08-02 03:59:12.372149+00:00,11.5,286.7,121.85356333333334,24.865628333333333
477996043,2025-08-02 03:58:30.430028+00:00,4.7,312.9,114.15536,22.296801666666667
416004171,2025-08-02 03:58:29.519511+00:00,8.3,17.8,121.79071,25.19247
563269100,2025-08-02 03:58:29.787100+00:00,0.0,335.2,103.82099166666667,1.262445
413906927,2025-08-02 03:58:29.732401+00:00,4.2,319.1,114.15141333333332,22.31664
538005171,2025-08-02 03:57:27.443719+00:00,0.1,8.3,103.92506333333334,1.2803600000000002
563066530,2025-08-02 03:58:30.251753+00:00,0.1,222.4,103.76028833333334,1.2910833333333334
416005475,2025-08-02 03:58:30.690191+00:00,0.0,359.5,121.74328,25.140173333333333
477137100,2025-08-02 03:58:39.506582+00:00,9.5,18.8,116.052375,6.132546666666667
563069820,2025-08-02 03:58:30.538761+00:00,0.0,150.0,103.64072666666667,1.2779616666666667
419000742,2025-08-02 03:57:28.720537+00:00,5.7,236.2,76.28519,9.952274999999998
341987000,2025-08-02 03:58:31.255822+00:00,2.0,142.0,103.798085,1.2111550000000002
477991600,2025-08-02 03:58:40.675720+00:00,0.0,271.4,114.09979166666668,22.36663
416004047,2025-08-02 03:58:31.456391+00:00,0.0,317.1,120.27147,22.61788
563009860,2025-08-02 03:58:31.505640+00:00,0.0,72.1,103.76073666666666,1.290695
518100932,2025-08-02 03:57:29.521825+00:00,0.0,162.8,103.75981333333334,1.2948216666666668
416005967,2025-08-02 03:58:36.266495+00:00,0.0,360.0,121.75937333333333,25.144588333333335
567100001,2025-08-02 03:58:38.475855+00:00,0.0,214.1,100.57738833333333,13.668628333333334
477995512,2025-08-02 03:58:39.653774+00:00,0.0,35.3,114.14636666666667,22.327683333333333
566163000,2025-08-02 03:58:31.570236+00:00,7.5,81.3,103.74023000000001,1.2426416666666666
319138500,2025-08-02 03:57:29.971570+00:00,0.0,267.8,103.84053833333334,1.2454500000000002
416004783,2025-08-02 03:58:00.602639+00:00,11.0,255.2,121.83895166666666,25.13184
565894000,2025-08-02 03:58:39.459844+00:00,0.1,360.0,103.96022666666666,1.30015
563221300,2025-08-02 03:57:30.103267+00:00,0.0,207.0,103.740565,1.2719516666666666
413870927,2025-08-02 03:57:30.142418+00:00,0.7,161.3,114.15972000000001,22.313145000000002
477519200,2025-08-02 03:59:19.926038+00:00,0.0,315.6,114.11321666666666,22.3554
533130753,2025-08-02 03:58:41.522274+00:00,11.5,117.6,103.598535,1.0732633333333332
563022400,2025-08-02 03:58:32.005752+00:00,0.0,360.0,103.75549500000001,1.3027033333333333
563187800,2025-08-02 03:58:51.555174+00:00,0.1,360.0,103.75650333333333,1.2859083333333332
636016811,2025-08-02 03:57:31.121366+00:00,0.0,264.0,103.82250333333333,1.2317916666666666
416013226,2025-08-02 03:58:33.784605+00:00,20.9,132.9,121.920735,24.790323333333333
416002365,2025-08-02 03:58:42.666330+00:00,0.6,360.0,121.83661333333333,24.86972666666667
477995429,2025-08-02 03:58:32.321326+00:00,0.3,333.5,114.16834666666666,22.293068333333334
416006831,2025-08-02 03:58:32.397931+00:00,0.0,360.0,120.28352,22.607028333333336
564461000,2025-08-02 03:58:51.922344+00:00,0.1,35.7,103.67592166666667,1.2921183333333335
567126000,2025-08-02 03:58:41.684296+00:00,0.9,223.9,100.59036333333333,13.685488333333332
376513000,2025-08-02 03:57:31.626686+00:00,0.2,201.1,120.27433833333333,22.612424999999998
477997113,2025-08-02 03:57:31.714883+00:00,0.0,180.4,114.14420833333334,22.327305000000003
477995062,2025-08-02 03:58:32.687911+00:00,0.0,64.2,114.20053166666666,22.29476
413222040,2025-08-02 03:59:17.139388+00:00,0.0,349.4,114.166735,22.30053
542249110,2025-08-02 03:58:33.018171+00:00,7.5,300.6,103.86170666666666,1.2631266666666667
563129100,2025-08-02 03:57:32.510578+00:00,0.0,253.0,103.74574166666666,1.1863716666666666
565175000,2025-08-02 03:58:33.233085+00:00,0.0,61.4,103.84163,1.2572816666666666
525019575,2025-08-02 03:58:41.960797+00:00,0.2,17.6,104.00231833333333,1.1841766666666667
525301506,2025-08-02 03:58:53.140618+00:00,0.4,111.6,100.57060666666666,4.183823333333334
477995445,2025-08-02 03:58:54.000873+00:00,0.1,345.5,114.15564666666667,22.288883333333334
477996493,2025-08-02 03:58:33.540510+00:00,0.2,340.0,114.15864166666667,22.287891666666667
416006377,2025-08-02 03:59:03.020942+00:00,6.4,214.5,121.74194000000001,25.13271166666667
563121600,2025-08-02 03:58:43.923647+00:00,6.7,82.7,103.82689166666667,1.1970933333333333
566734000,2025-08-02 03:58:34.177711+00:00,4.4,292.3,103.62465,1.2599333333333333
566210000,2025-08-02 03:58:34.225218+00:00,5.5,110.1,103.63519500000001,1.2076083333333334
567402000,2025-08-02 03:58:44.545682+00:00,9.9,307.6,100.61396666666666,13.525916666666665
565173000,2025-08-02 03:58:34.275326+00:00,6.6,70.7,103.91406333333333,1.2786083333333333
563042900,2025-08-02 03:58:54.200849+00:00,1.8,80.2,103.95016000000001,1.2735566666666667
370797000,2025-08-02 03:57:33.919853+00:00,0.1,141.4,103.98109333333333,1.2861066666666665
477997127,2025-08-02 03:58:45.290940+00:00,0.0,0.0,114.144145,22.327803333333335
310543000,2025-08-02 03:58:04.363525+00:00,8.0,129.8,104.05754166666667,1.3485316666666667
416005474,2025-08-02 03:57:34.120543+00:00,0.0,360.0,121.74332,25.140308333333333
416002836,2025-08-02 03:58:54.689179+00:00,11.2,170.2,121.78213000000001,25.175441666666664
564058000,2025-08-02 03:58:34.446084+00:00,0.0,323.5,103.84237166666666,1.2583633333333333
477947200,2025-08-02 03:58:44.101848+00:00,0.1,166.5,114.09944999999999,22.366396666666667
563077750,2025-08-02 03:58:44.156120+00:00,0.0,360.0,103.61194333333333,1.2552566666666667
457900631,2025-08-02 03:59:13.647369+00:00,0.0,360.0,123.91164,10.298533333333333
566558000,2025-08-02 03:57:34.403935+00:00,0.0,360.0,103.90771833333334,1.0963316666666667
